ID,Labels,F0,F1,F2,F3,F4,Time
CDMN3E1SM007_LEC,COSDa_A,152.85295,610.36909,1268.12792,2176.75821,3539.02271,0.05154
CDMN3E1SM007_LEC,COVa_A,132.46743,613.9602,1454.44663,1972.82678,3613.13807,0.04655
CDMN3E1SM007_LEC,CFVa_A,161.50802,635.42246,1537.26751,2420.42916,3350.04784,0.05486
CDMN3E1SM007_LEC,COSBaCFA_T,152.06433,652.02498,1316.92946,2977.15418,3689.73784,0.0678
CDMN3E1SM007_LEC,CNAa_T,152.93344,607.07156,1365.00859,2895.71122,3716.81131,0.06982
CDMN3E1SM007_LEC,COSDCVSaCFA__A,128.55041,521.49915,1450.50501,2751.79463,3520.50559,0.06982
CDMN3E1SM007_LEC,CFLaCNA_T,109.63815,583.79284,1087.02238,2485.09888,3015.57441,0.06816
CDMN3E1SM007_LEC,COSBaCVS_T,142.12351,687.75567,1370.37695,2738.2786,3804.64255,0.06982
CDMN3E1SM007_LEC,COSDa_A,128.05623,526.82461,1426.07441,3256.10559,3617.03125,0.04322
CDMN3E1SM007_LEC,COSVaCNA_A,119.83397,555.85799,1738.09859,3313.8336,3618.98777,0.05819
CDMN3E1SM007_LEC,CLa_T,123.83378,542.00346,1497.49251,2967.12902,3562.14936,0.04489
CDMN3E1SM007_LEC,CVMa_A,169.78489,395.03692,1615.83751,2923.18517,3686.41697,0.10474
CDMN3E1SM007_LEC,CLa_T,126.1874,621.31093,1417.79129,2744.17769,3878.74088,0.06317
CDMN3E1SM007_LEC,CVSa_A,140.81024,589.93843,1199.33233,1980.49979,3171.07112,0.05652
CDMN3E1SM007_LEC,CNAa_A,123.89909,570.9881,1170.00148,2096.99275,3386.76497,0.05154
CDMN3E1SM007_LEC,CODa_A,132.31362,510.48289,1461.14934,3085.57302,3748.59969,0.06151
CDMN3E1SM007_LEC,COBa_T,129.32383,614.698,1276.20542,2379.33324,3488.4766,0.04655
CDMN3E1SM007_LEC,CVSa_A,108.6658,507.48057,1540.3708,2181.1965,3505.61033,0.06317
CDMN2E1SM010_LEC,CLa_A,128.756,490.1487,1460.6017,2245.24208,3254.80879,0.08748
CDMN2E1SM010_LEC,COSDa_A,127.47685,491.45676,1499.88044,2195.93399,3340.01905,0.05141
CDMN2E1SM010_LEC,COBa_T,119.96494,509.77854,1427.44074,2358.48208,3832.22836,0.06764
CDMN2E1SM010_LEC,CFAa_A,125.727,482.55879,1391.74323,2186.61346,3465.24405,0.06674
CDMN2E1SM010_LEC,CLa_A,105.61761,535.08897,1590.88095,2174.58204,3572.10472,0.17529
CDMN2E1SM010_LEC,CLaCFA_A,105.4403,490.73487,1627.2871,2336.69224,3698.70011,0.07872
CDMN2E1SM010_LEC,CFLa_A,103.87507,536.29192,1347.05705,2103.22855,3636.18017,0.07709
CDMN2E1SM010_LEC,CFAa_T,106.54068,548.2932,1599.68026,2015.2541,3525.55694,0.09495
CDMN2E1SM010_LEC,COSDa_A,98.07783,449.82897,1573.87491,2106.52404,3326.31853,0.07385
CDMN2E1SM010_LEC,CODCVSa_A,105.74082,494.50375,1644.76148,2465.25642,3658.57626,0.07385
CDMN2E1SM010_LEC,CVMa_A,129.88692,480.7418,1587.9968,2320.02063,3643.70195,0.10306
CDMN2E1SM010_LEC,CODa_A,100.53924,422.7674,1726.9839,2554.7186,3643.80366,0.10631
CDMN2E1SM010_LEC,COBa_A,98.47469,455.53219,1492.70023,2331.1108,3359.23042,0.09008
CDMN2E1SM010_LEC,CFAa_T,102.28794,493.71964,1471.33675,2294.42153,3414.43066,0.07709
CDMN2E1SM010_LEC,COSBa_T,102.83068,584.33581,1476.0298,2571.76715,3614.95098,0.06168
CDMN2E1SM010_LEC,CFVaCNA_A,106.43407,438.35425,1585.8458,2238.66872,3881.27931,0.05437
CDMN2E1SM010_LEC,CLaCFA_A,106.31296,481.54839,1667.91824,2321.43194,3790.09403,0.08683
CDMN2E1SM010_LEC,COSDaCNA_A,122.78874,467.5896,1590.08873,2208.3786,4299.40621,0.06249
CDMN2E1SM010_LEC,CLaCFA_A,100.74363,478.72757,1633.59987,2341.88581,3721.63341,0.07791
CDMN2E1SM010_LEC,CNBa_T,106.53021,475.21591,1409.38531,2075.76798,3606.19233,0.09414
CDMN2E1SM010_LEC,COSBa_A,97.66907,543.94766,1587.94245,2336.56005,3684.34157,0.05194
CDMN2E1SM010_LEC,CLa_T,119.88124,629.40586,1397.21546,2162.35453,3425.2252,0.07628
CDMN2E1SM010_LEC,CLa_A,95.83649,406.21013,871.68479,2260.56382,3186.55058,0.04463
CDMN2E1SM010_LEC,COVa_A,110.58995,522.48528,1617.08607,2494.8927,3671.16651,0.08521
CDMN2E1SM010_LEC,CNBa_T,109.88377,659.90428,1418.4535,2100.78169,3245.43254,0.09495
CDMN2E1SM010_LEC,CFPa_A,121.1602,472.99904,1682.15159,2096.38122,3581.52067,0.06979
CDMN2E1SM010_LEC,COVaCNA_A,99.64802,495.68618,1617.60977,2267.00239,3759.37172,0.1055
CDMN2E1SM010_LEC,CLaCFA_A,92.51192,469.92024,1594.20718,2306.08025,3596.99228,0.08196
CDMN2E1SM010_LEC,CODCVSaCFA_A,107.64862,463.96981,1597.85575,2185.04078,3515.78329,0.08602
CDMN2E1SM010_LEC,CVSa_T,106.15317,533.25792,1645.38837,2328.15431,3627.88097,0.0495
CDMN2E1SM010_LEC,COSDa_A,106.17288,488.28687,1569.29114,2236.42868,3682.45851,0.09819
CDMN2E1SM010_LEC,CLaCFA_A,111.47689,561.33647,1704.47801,2486.38015,3679.8121,0.10306
CDMN2E1SM010_LEC,COVa_T,127.30995,472.82905,1632.55343,2354.68922,3825.32184,0.09982
CDMN2E1SM010_LEC,CFAaCFA_A,149.90732,447.59909,1571.59751,2360.14299,3729.58074,0.09251
CDMN2E1SM010_LEC,CNAa_A,130.03464,480.88064,1390.57739,2106.34657,3421.27999,0.07791
CDMN2E1SM010_LEC,COVa_A,100.98914,509.93178,1665.16382,2314.04498,3651.42337,0.08602
CDMN2E1SM010_LEC,CVSa_T,83.31234,809.79397,1683.95512,2630.8459,3691.3171,0.11361
CDMN2E1SM010_LEC,CLaCFA_A,105.66557,477.11341,1637.84515,2500.64079,3719.04225,0.09738
CDMN2E1SM010_LEC,CNBa_T,122.39947,508.92888,1439.48784,2276.06702,3480.6773,0.06817
CDMN2E1SM010_LEC,CLa_A,125.6764,478.01462,1592.93066,2347.63861,3752.6247,0.07709
CDMN2E1SM010_LEC,CLa_A,93.43976,452.99585,1490.74982,2125.94014,3513.36551,0.07953
CDMN2E1SM010_LEC,CODaCNA_T,107.76013,487.84284,1633.88957,2246.76235,3577.03937,0.10144
CDMN2E1SM010_LEC,CODaCNA_T,99.47858,476.41718,1503.51563,2124.80683,3557.40619,0.07953
CDMN2E1SM010_LEC,CLa_A,106.55496,551.55397,1698.27947,2427.17823,3484.63484,0.06492
CDMN2E1SM010_LEC,COVa_A,103.5298,611.95986,1672.25851,2297.09115,3569.48581,0.08927
CDMN2E1SM010_LEC,CLa_A,95.3222,521.63602,1675.93803,2338.55023,3491.45839,0.06736
CDMN2E1SM010_LEC,CFAa_T,114.90604,669.57055,1516.43324,2261.38998,3379.71145,0.11118
CDMN2E1SM010_LEC,CODCLa_T,166.07367,600.04354,1626.85381,2377.9614,3665.48186,0.09495
CDMN2E1SM010_LEC,COSVa_T,97.52178,523.17616,1582.14126,2266.90845,3156.73425,0.07872
CDMN2E1SM010_LEC,COVa_T,107.59611,548.21424,1590.53418,2303.98441,3627.3594,0.08115
CDMN2E1SM010_LEC,COSDa_A,98.793,519.38344,1372.78694,2156.3154,3428.24209,0.06736
CDMN2E1SM010_LEC,COVa_A,91.8048,473.21055,1489.35028,2252.58308,3505.47181,0.08602
CDMN2E1SM010_LEC,CFVa_A,139.50176,494.04588,1485.94428,2175.77749,3318.73608,0.08602
CDMN2E1SM010_LEC,CNBa_T,127.14251,544.60311,1485.75513,2302.97697,3651.34135,0.1055
CDMN2E1SM010_LEC,CNBa_A,97.42099,529.97835,1708.38934,2298.7923,3336.42612,0.06736
CDMN2E1SM010_LEC,COSDCVaCFA_A,105.61636,490.70968,1710.24862,2274.32254,3691.9166,0.07547
CDMN2E1SM010_LEC,CFLaCNA_T,95.14604,462.82216,1477.26956,2198.32221,3559.65509,0.11037
CDMN2E1SM010_LEC,COBaCVS_T,115.38758,608.26465,1412.26435,2271.83898,3402.64435,0.08846
CDMN2E1SM010_LEC,COSDa_A,110.04393,501.95611,1319.59814,2006.81613,3424.12127,0.06817
CDMN2E1SM010_LEC,COSVa_A,136.49743,469.16793,1674.74046,2208.21561,3627.50741,0.06005
CDMN2E1SM010_LEC,CLa_A,95.02215,420.80398,1681.06923,2304.37275,3506.4423,0.0917
CDMN2E1SM010_LEC,CVMa_A,133.26811,582.48627,1621.84197,2256.67028,3264.33731,0.09657
CDMN2E1SM010_LEC,CLa_A,101.17428,516.37527,1599.84886,2370.99699,3300.71599,0.11199
CDMN2E1SM010_LEC,CVMa_A,100.85215,532.43022,1650.67368,2375.51477,3623.27826,0.06168
CDMN2E1SM010_LEC,CNAa_A,NA,523.46155,1411.23441,2297.52971,3467.39572,0.09332
